File,Algorithm,P,n_vertices,max_cap,t0,t1,t2,t3,t4
MPM_p_0.6_nVertices_350_maxValue_340.txt,MPM,0.6,350,340,0.016,0.010499,0.0105,0.0105,0.012999
EK_p_0.6_nVertices_350_maxValue_340.txt,EK,0.6,350,340,0.079499,0.154499,0.0925,0.075499,0.064999
Dinic_p_0.6_nVertices_350_maxValue_340.txt,Dinic,0.6,350,340,0.003001,0.002999,0.004999,0.003499,0.002501
MPM_p_0.6_nVertices_350_maxValue_500.txt,MPM,0.6,350,500,0.010001,0.014499,0.018001,0.007499,0.010499
EK_p_0.6_nVertices_350_maxValue_500.txt,EK,0.6,350,500,0.1215,0.101001,0.094499,0.0685,0.1315
Dinic_p_0.6_nVertices_350_maxValue_500.txt,Dinic,0.6,350,500,0.0025,0.003,0.0035,0.002002,0.0025
MPM_p_0.6_nVertices_400_maxValue_10.txt,MPM,0.6,400,10,0.009502,0.008999,0.014,0.014501,0.011
EK_p_0.6_nVertices_400_maxValue_10.txt,EK,0.6,400,10,0.1525,0.135001,0.105,0.095001,0.086
Dinic_p_0.6_nVertices_400_maxValue_10.txt,Dinic,0.6,400,10,0.0065,0.003,0.003501,0.002001,0.0055
MPM_p_0.6_nVertices_400_maxValue_20.txt,MPM,0.6,400,20,0.008999,0.016001,0.008999,0.013,0.015
EK_p_0.6_nVertices_400_maxValue_20.txt,EK,0.6,400,20,0.140501,0.101998,0.134498,0.120501,0.144001
Dinic_p_0.6_nVertices_400_maxValue_20.txt,Dinic,0.6,400,20,0.006001,0.007501,0.0025,0.0045,0.0035
MPM_p_0.6_nVertices_400_maxValue_30.txt,MPM,0.6,400,30,0.012001,0.016001,0.0165,0.015501,0.014
EK_p_0.6_nVertices_400_maxValue_30.txt,EK,0.6,400,30,0.143498,0.117,0.103999,0.101999,0.180499
Dinic_p_0.6_nVertices_400_maxValue_30.txt,Dinic,0.6,400,30,0.008,0.004,0.009001,0.005503,0.004501
MPM_p_0.6_nVertices_400_maxValue_50.txt,MPM,0.6,400,50,0.021501,0.016999,0.017001,0.009999,0.0165
